business_name,category,lic_code,street_address,State,City,zipcode,business_start_date,business_end_date,neighborhoods,business_location,supervisor_district,Lifespan,closed,age_if_opened
House,Food Services,,1230 Grant Ave,CA,San Francisco,94133.0,06/01/2003,,North Beach,"1230 GRANT AVE
San Francisco, CA 94133
(37.798684, -122.407203)",3.0,,no,5540.0
Haagen Dazs #561,Food Services,"Restaurant Less Than 1,000 Sqft",865 Market St C05,CA,San Francisco,94103.0,10/01/2003,,South of Market,"865 MARKET ST
San Francisco, CA 94103
(37.784904, -122.406929)",6.0,,no,5418.0
Fire House Cafe,Food Services,,545 Sansome St,CA,San Francisco,94111.0,07/01/2004,01/01/2017,,"545 SANSOME ST
San Francisco, CA 94111
(37.795507, -122.401639)",,4567.0,yes,
Essa's Remodeling,Food Services,,627 Lyon St,CA,San Francisco,94117.0,01/05/2004,,Lone Mountain/USF,"627 LYON ST
SAN FRANCISCO, CA 94117
(37.776652, -122.44322)",5.0,,no,5322.0
Balance Catering,Food Services,Catering Facility,293 Bayshore Blvd,CA,San Francisco,94124.0,04/13/2007,12/31/2017,Bayview Hunters Point,"293 BAYSHORE BLVD
San Francisco, CA 94124
(37.743302, -122.404968)",10.0,3915.0,yes,
Limon Restaurant,Food Services,Multiple,524 Valencia St,CA,San Francisco,94110.0,09/01/2004,,Mission,"524 VALENCIA ST
San Francisco, CA 94110
(37.764427, -122.421837)",8.0,,no,5082.0
Stacks Restaurant,Food Services,Multiple,501 Hayes St,CA,San Francisco,94102.0,05/01/2007,,Hayes Valley,"501 HAYES ST
San Francisco, CA 94102
(37.776652, -122.424771)",5.0,,no,4110.0
Culinary Magic,Food Services,,2840 Folsom St,CA,San Francisco,94110.0,04/15/2005,,Mission,"2840 FOLSOM ST
San Francisco, CA 94110
(37.751843, -122.414017)",9.0,,no,4856.0
Komoot Design,Food Services,,1327 31st Ave 4,CA,San Francisco,94122.0,10/23/2008,,Sunset/Parkside,"1327 31ST AVE
San Francisco, CA 94122
(37.762449, -122.489952)",4.0,,no,3569.0
Bollyhood Cafe,Food Services,Multiple,3372 19th St,CA,San Francisco,94110.0,05/15/2007,,Mission,"3372 19TH ST
San Francisco, CA 94110
(37.760265, -122.41872)",9.0,,no,4096.0
Subway 30303,Food Services,"Restaurant Less Than 1,000 Sqft",3911 Alemany Blvd,CA,San Francisco,94132.0,04/18/2007,,Oceanview/Merced/Ingleside,"3911 ALEMANY BLVD
San Francisco, CA 94132
(37.711479, -122.466928)",7.0,,no,4123.0
Wins Restaurant,Food Services,,3040 Taraval St,CA,San Francisco,94116.0,05/15/2007,12/31/2016,Sunset/Parkside,"3040 TARAVAL ST
San Francisco, CA 94116
(37.742032, -122.499004)",4.0,3518.0,yes,
Mateo's Bay Area Hot Dogs,Food Services,,4531 Mission St,CA,San Francisco,94112.0,05/18/2007,,Excelsior,"4531 MISSION ST
San Francisco, CA 94112
(37.725187, -122.43443)",11.0,,no,4093.0
Baysubway 04,Food Services,"Restaurant Less Than 1,000 Sqft",550 Gene Friend Wy #B,CA,San+francisco,94158.0,06/01/2007,,,"550 GENE FRIEND WY
B San Francisco, CA 94158
(37.768885, -122.390196)",,,no,4079.0
Cook Club,Food Services,,1738 Funston Ave,CA,San Francisco,94122.0,08/04/2004,,Inner Sunset,"1738 FUNSTON AVE
San Francisco, CA 94122
(37.756027, -122.470083)",7.0,,no,5110.0
Pete's Tavern,Food Services,Multiple,128 King St,CA,San Francisco,94107.0,04/30/2007,,Mission Bay,"128 KING ST
San Francisco, CA 94107
(37.77928, -122.390533)",6.0,,no,4111.0
Pedros Cantina,Food Services,Places Of Public Assembly & Open-Air Assembly,128 King St,CA,San Francisco,94107.0,04/30/2007,,Mission Bay,"128 KING ST
San Francisco, CA 94107
(37.77928, -122.390533)",6.0,,no,4111.0
Gitane Restaurant,Food Services,"Restaurant Greater Than 2,000 Sqft",239 Kearny St,CA,San Francisco,94108.0,08/01/2007,02/28/2018,Financial District/South Beach,"239 KEARNY ST
San Francisco, CA 94108
(37.790392, -122.403968)",3.0,3864.0,yes,
Hotel Utah Saloon,Food Services,Multiple,500 4th St,CA,San Francisco,94107.0,01/16/2004,,South of Market,"500 4TH ST
San Francisco, CA 94107
(37.779483, -122.397976)",6.0,,no,5311.0
"Cardel Catering, Ltd",Food Services,,2404 Lincoln Ave,CA,Alameda,94501.0,11/04/2017,,,,,,no,270.0
Mandalay Restaurant,Food Services,"Restaurant Greater Than 2,000 Sqft",4348 California St,CA,San Francisco,94118.0,07/01/2004,,Inner Richmond,"4348 CALIFORNIA ST
San Francisco, CA 94118
(37.785062, -122.464031)",2.0,,no,5144.0
Press Club,Food Services,,735 Market St,CA,San Francisco,94103.0,06/01/2007,,Financial District/South Beach,"735 MARKET ST
San Francisco, CA 94103
(37.786915, -122.404388)",6.0,,no,4079.0
Baby Blues Bbq San Francisco,Food Services,"Restaurant 1,000 - 2,000 Sqft",3149 Mission St,CA,San Francisco,94110.0,06/01/2007,,Bernal Heights,"3149 MISSION ST
San Francisco, CA 94110
(37.746947, -122.419008)",9.0,,no,4079.0
Hing Wang Bakery Co Inc,Food Services,"Restaurant 1,000 - 2,000 Sqft",339 Judah St,CA,San Francisco,94122.0,06/12/2007,,Inner Sunset,"339 JUDAH ST
San Francisco, CA 94122
(37.762136, -122.46592)",5.0,,no,4068.0
King's Thai Cuisine,Food Services,,639 Clement St,CA,San Francisco,94118.0,01/06/2005,,Inner Richmond,"639 CLEMENT ST
San Francisco, CA 94118
(37.782876, -122.466192)",1.0,,no,4955.0
Catherine,Food Services,,1228 Treat Ave,CA,San Francisco,94110.0,01/01/2004,,Mission,"1228 TREAT AVE
San Francisco, CA 94110
(37.750445, -122.412787)",9.0,,no,5326.0
Epic Roasthouse,Food Services,"Restaurant Greater Than 2,000 Sqft",369 The Embarcadero,CA,San Francisco,94105.0,07/01/2007,,Financial District/South Beach,"369 THE
EMBARCADERO San Francisco, CA 94105
",3.0,,no,4049.0
Napoleon Super Bakery Corp,Food Services,"Restaurant 1,000 - 2,000 Sqft",1049 Stockton St,CA,San Francisco,94108.0,02/28/2003,,Chinatown,"1049 STOCKTON ST
San Francisco, CA 94108
(37.795373, -122.40818)",3.0,,no,5633.0
Serpentine,Food Services,,2495 3rd St,CA,San Francisco,94107.0,07/01/2007,08/30/2015,Potrero Hill,"2495 3RD ST
SAN FRANCISCO, CA 94107
(37.758212, -122.388261)",10.0,2982.0,yes,
Miette Cakes Llc,Food Services,Retail Food Market W/food Prep. Lt 5001 Sqft,1 Ferry Bldg 10,CA,San+francisco,94111.0,10/04/2003,,,"1 FERRY
San Francisco, CA 94111
",,,no,5415.0
Lucky Ocean Cafe,Food Services,,1501 Ocean Ave,CA,San Francisco,94112.0,07/01/2007,06/30/2015,Oceanview/Merced/Ingleside,"1501 OCEAN AVE
San Francisco, CA 94112
(37.72431, -122.458211)",7.0,2921.0,yes,
S P Q R,Food Services,"Restaurant 1,000 - 2,000 Sqft",1911 Fillmore St,CA,San Francisco,94111.0,07/01/2007,,,"1911 FILLMORE ST
San Francisco, CA 94111
(37.78736, -122.433527)",,,no,4049.0
Brenda's French Soul Food,Food Services,Multiple,652b Polk St,CA,San Francisco,94102.0,07/01/2007,,Tenderloin,"652B POLK ST
San Francisco, CA 94102
(37.782871, -122.419132)",6.0,,no,4049.0
Libby Jane Cafe,Food Services,"Restaurant Less Than 1,000 Sqft",644 Polk St,CA,San Francisco,94102.0,07/01/2007,,Tenderloin,"644 POLK ST
San Francisco, CA 94102
(37.782584, -122.419078)",6.0,,no,4049.0
Sqwers Restaurant,Food Services,"Restaurant 1,000 - 2,000 Sqft",3015 Geary Blvd,CA,San Francisco,94118.0,07/19/2005,,Lone Mountain/USF,"3015 GEARY BLVD
San Francisco, CA 94118
(37.781911, -122.451265)",1.0,,no,4761.0
May's Coffee Shop,Food Services,"Restaurant Less Than 1,000 Sqft",1737 Post St 395,CA,San Francisco,94115.0,07/01/2007,,Japantown,"1737 POST ST
San Francisco, CA 94115
(37.785551, -122.430082)",5.0,,no,4049.0
Rouge,Food Services,Multiple,1500 Broadway,CA,San Francisco,94109.0,08/13/2004,,Russian Hill,"1500 BROADWAY
San Francisco, CA 94109
(37.795947, -122.422026)",3.0,,no,5101.0
Cafe Muse,Food Services,,785 8th Ave,CA,San Francisco,94118.0,07/01/2007,08/05/2016,Inner Richmond,"785 8TH AVE
San Francisco, CA 94118
(37.773667, -122.465907)",1.0,3323.0,yes,
Nopa,Food Services,Multiple,560 Divisadero St,CA,San Francisco,94117.0,05/10/2005,,Hayes Valley,"560 DIVISADERO ST
San Francisco, CA 94117
(37.774881, -122.437743)",5.0,,no,4831.0
Caffe Baonecci,Food Services,"Restaurant Less Than 1,000 Sqft",516 Green St,CA,San Francisco,94133.0,10/13/2005,,North Beach,"516 GREEN ST
San Francisco, CA 94133
(37.799664, -122.407796)",3.0,,no,4675.0
New San Wang Restaurant,Food Services,Multiple,1682 Post St,CA,San Francisco,94115.0,07/20/2007,,Japantown,"1682 POST ST
San Francisco, CA 94115
(37.785651, -122.429394)",5.0,,no,4030.0
Executive Chef,Food Services,,1738 Funston Ave,CA,San Francisco,94122.0,08/04/2004,,Inner Sunset,"1738 FUNSTON AVE
San Francisco, CA 94122
(37.756027, -122.470083)",7.0,,no,5110.0
The Mindful Feast,Food Services,,1327 31st Ave 4,CA,San Francisco,94122.0,10/23/2008,,Sunset/Parkside,"1327 31ST AVE
San Francisco, CA 94122
(37.762449, -122.489952)",4.0,,no,3569.0
Golden Kim Tar Restaurant,Food Services,"Restaurant 1,000 - 2,000 Sqft",434 Larkin St,CA,San Francisco,94102.0,07/15/2007,,,"434 LARKIN ST
San Francisco, CA 94102
(37.78194, -122.417269)",,,no,4035.0
Green Bamboo,Food Services,"Restaurant 1,000 - 2,000 Sqft",1240 Noriega St,CA,San Francisco,94122.0,08/01/2007,,Sunset/Parkside,"1240 NORIEGA ST
San Francisco, CA 94122
(37.754203, -122.477179)",4.0,,no,4018.0
Coffee Chatz,Food Services,,301 Arkansas St,CA,San Francisco,94107.0,03/01/2005,,Potrero Hill,"301 ARKANSAS ST
San Francisco, CA 94107
(37.762474, -122.398463)",10.0,,no,4901.0
Pho Huynh Hiep Ii Inc,Food Services,"Restaurant Greater Than 2,000 Sqft",1833 Irving St,CA,San Francisco,94122.0,08/01/2007,,Sunset/Parkside,"1833 IRVING ST
San Francisco, CA 94122
(37.76355, -122.477737)",4.0,,no,4018.0
Decca Coffee,Food Services,,375 Valencia St,CA,San Francisco,94103.0,07/27/2007,,Mission,"375 VALENCIA ST
SAN FRANCISCO, CA 94103
(37.766975, -122.422088)",9.0,,no,4023.0
Fourbarrel Coffee,Food Services,,2599 San Bruno Ave,CA,San Francisco,94134.0,07/27/2007,,Portola,"2599 SAN BRUNO AVE
San Francisco, CA 94134
(37.728906, -122.404136)",9.0,,no,4023.0
The Mill,Food Services,Multiple,736 Divisadero St,CA,San Francisco,94117.0,07/27/2007,,Hayes Valley,"736 DIVISADERO ST
San Francisco, CA 94117
(37.776408, -122.438046)",5.0,,no,4023.0
Fine Foods At Home,Food Services,,1732 Hayes St,CA,San Francisco,94117.0,09/01/2007,,Lone Mountain/USF,"1732 HAYES ST
San Francisco, CA 94117
(37.774088, -122.444967)",5.0,,no,3987.0
Fine Foods At Home,Food Services,,1760 Market St,CA,San Francisco,94117.0,09/01/2007,,,"1760 MARKET ST
San Francisco, CA 94117
(37.772047, -122.423334)",,,no,3987.0
Fine Foods At Home,Food Services,Caterer,1760 Ceasar Chavez,CA,San+francisco,94124.0,09/01/2007,,,"1760 CEASAR
CHAVEZ San Francisco, CA 94124
",,,no,3987.0
Pizza Orgasmica,Food Services,"Restaurant Less Than 1,000 Sqft",3157 Fillmore St,CA,San Francisco,94123.0,04/01/2007,,,"3157 FILLMORE ST
San Francisco, CA 94123
(37.79878, -122.435844)",,,no,4140.0
Panini,Food Services,"Restaurant Less Than 1,000 Sqft",1457 Haight St,CA,San Francisco,94117.0,08/26/2007,,Haight Ashbury,"1457 HAIGHT ST
San Francisco, CA 94117
(37.770078, -122.446325)",5.0,,no,3993.0
Burger King,Food Services,,1701 Fillmore St,CA,San Francisco,94115.0,09/01/2004,05/04/2016,Japantown,"1701 FILLMORE ST
San Francisco, CA 94115
(37.785166, -122.433098)",5.0,4263.0,yes,
La Maison,Food Services,,1521 Hyde St,CA,San Francisco,94109.0,08/31/2004,,Russian Hill,"1521 HYDE ST
San Francisco, CA 94109
(37.794757, -122.418163)",3.0,,no,5083.0
Cocola Bakery,Food Services,"Restaurant Less Than 1,000 Sqft",3251 20th Ave 186,CA,San Francisco,94132.0,10/01/2006,,Lakeshore,"3251 20TH AVE
San Francisco, CA 94132
(37.727905, -122.475605)",7.0,,no,4322.0
The Homestead,Food Services,Multiple,2301 Folsom St,CA,San Francisco,94110.0,10/16/2005,,Mission,"2301 FOLSOM ST
San Francisco, CA 94110
(37.760366, -122.414831)",9.0,,no,4672.0
Patxis Chicago Pizza,Food Services,,822 Irving St,CA,San Francisco,94122.0,08/20/2005,,,"822 IRVING ST
San Francisco, CA 94122
(37.764018, -122.466796)",,,no,4729.0
Ketama Cooperative Inc,Food Services,Medical Cannabis Dispensary,14 Valencia St,CA,San Francisco,94103.0,08/24/2007,,Mission,"14 VALENCIA ST
San Francisco, CA 94103
(37.77169, -122.422607)",6.0,,no,3995.0
Pho #1,Food Services,"Restaurant Greater Than 2,000 Sqft",2571 San Bruno Ave,CA,San Francisco,94134.0,09/01/2007,,,"2571 SAN BRUNO AVE
San Francisco, CA 94134
(37.729229, -122.404272)",,,no,3987.0
Bernie's,Food Services,Take-Out Establishment,3966 24th St,CA,San Francisco,94114.0,09/12/2007,,Noe Valley,"3966 24TH ST
San Francisco, CA 94114
(37.751478, -122.431152)",8.0,,no,3976.0
Bernie's,Food Services,"Restaurant Less Than 1,000 Sqft",50 Post St 8,CA,San Francisco,94104.0,09/12/2007,,Financial District/South Beach,"50 POST ST
San Francisco, CA 94104
(37.788992, -122.402927)",3.0,,no,3976.0
Sip.,Food Services,,787 Broadway St,CA,San+francisco,94133.0,11/09/2004,,,"787 BROADWAY ST
San Francisco, CA 94133
(37.797397, -122.410159)",,,no,5013.0
Mangosteen Restaurant,Food Services,,601 Larkin St,CA,San Francisco,94109.0,08/20/2007,04/29/2017,Tenderloin,"601 LARKIN ST
San Francisco, CA 94109
(37.783457, -122.417574)",6.0,3540.0,yes,
Little Saigon Deli,Food Services,Take-Out Establishment,131 Stuart St 101,CA,San Francisco,94105.0,09/01/2007,,Financial District/South Beach,"131 STUART ST
San Francisco, CA 94105
(37.79283, -122.392679)",6.0,,no,3987.0
California Beverage Systems In,Food Services,,2502 Technology Drive,CA,Hayward,94545.0,06/01/1980,,,"2502 TECHNOLOGY DRIVE
HAYWARD, CA 94545
(37.618588, -122.087327)",,,no,13940.0
Fang,Food Services,Multiple,660 Howard St,CA,San Francisco,94105.0,08/28/2007,,Financial District/South Beach,"660 HOWARD ST
San Francisco, CA 94105
(37.785606, -122.399717)",6.0,,no,3991.0
Mrs Dalloways Catering,Food Services,,2029 Powell St,CA,San Francisco,94133.0,04/01/2012,,North Beach,"2029 POWELL ST
San Francisco, CA 94133
(37.803315, -122.411458)",3.0,,no,2313.0
Chinese Cuisine,Food Services,,77 Battery St,CA,San Francisco,94111.0,10/01/2007,,,"77 BATTERY ST
SAN FRANCISCO, CA 94111
(37.791998, -122.39972)",,,no,3957.0
Happy Donuts,Food Services,"Restaurant Less Than 1,000 Sqft",100 Bush St Ste 101,CA,San Francisco,94104.0,10/01/2007,,Financial District/South Beach,"100 BUSH ST
San Francisco, CA 94104
(37.79128, -122.39995)",3.0,,no,3957.0
Buffalo Whole Food And Grain C,Food Services,"Retail Mkts W/o Prep (Under 5,001)",598 Castro St,CA,San Francisco,94114.0,05/22/2010,,Castro/Upper Market,"598 CASTRO ST
San Francisco, CA 94114
(37.759294, -122.434841)",8.0,,no,2993.0
Cesars Ballroom,Food Services,,826 26th St,CA,San Francisco,94107.0,01/10/2011,,Bayview Hunters Point,"826 26TH ST
San Francisco, CA 94107
(37.751549, -122.38822)",10.0,,no,2760.0
Leos Hot Dogs,Food Services,Multiple,2305 Mission St,CA,San Francisco,94110.0,01/10/2011,,Mission,"2305 MISSION ST
San Francisco, CA 94110
(37.760167, -122.419196)",9.0,,no,2760.0
Cumaica Coffee-10th,Food Services,,1398 Mission St,CA,San Francisco,94103.0,09/29/2007,12/31/2014,,"1398 MISSION ST
San Francisco, CA 94103
(37.775344, -122.415838)",,2650.0,yes,
Cumaica Coffee-Clement,Food Services,,200 Clement St,CA,San Francisco,94118.0,09/29/2007,12/31/2014,Inner Richmond,"200 CLEMENT ST
San Francisco, CA 94118
(37.783107, -122.461379)",1.0,2650.0,yes,
Anchor And Hope,Food Services,Multiple,83 Minna St,CA,San Francisco,94105.0,09/28/2007,,Financial District/South Beach,"83 MINNA ST
San Francisco, CA 94105
(37.787874, -122.398896)",6.0,,no,3960.0
Alta Plaza,Food Services,,2049 Fillmore St 200,CA,San Francisco,94115.0,12/19/2005,03/27/2016,Pacific Heights,"2049 FILLMORE ST
San Francisco, CA 94115
(37.788636, -122.433786)",2.0,3751.0,yes,
L'ardoise,Food Services,"Restaurant Less Than 1,000 Sqft",151 Noe St,CA,San Francisco,94114.0,10/03/2007,,Castro/Upper Market,"151 NOE ST
San Francisco, CA 94114
(37.766549, -122.433353)",8.0,,no,3955.0
Shabu House,Food Services,,5158 Geary Blvd,CA,San Francisco,94118.0,10/10/2007,04/30/2016,Outer Richmond,"5158 GEARY BLVD
San Francisco, CA 94118
(37.780605, -122.474907)",1.0,3125.0,yes,
Cake Coquette,Food Services,Catering Facility,1501 Cortland Ave,CA,San Francisco,94110.0,11/01/2007,,Bernal Heights,"1501 CORTLAND AVE
San Francisco, CA 94110
(37.739699, -122.409387)",9.0,,no,3926.0
Terroir,Food Services,Multiple,81 Langton St 2,CA,San Francisco,94103.0,10/15/2007,,South of Market,"81 LANGTON ST
San Francisco, CA 94103
(37.77647, -122.408579)",6.0,,no,3943.0
Sparky's Pizza & Diner,Food Services,,242 Church St,CA,San Francisco,94114.0,10/01/2007,02/09/2016,Castro/Upper Market,"242 CHURCH ST
San Francisco, CA 94114
(37.766801, -122.428879)",8.0,3053.0,yes,
Spice It Up Catering Svcs Llc,Food Services,,1971 Oakdale Ave #A,CA,San+francisco,94124.0,10/18/2007,,,"1971 OAKDALE AVE
A San Francisco, CA 94124
(37.73856, -122.39732)",,,no,3940.0
Bar Crudo,Food Services,"Restaurant 1,000 - 2,000 Sqft",655 Divisadero St,CA,San Francisco,94115.0,08/17/2009,,Hayes Valley,"655 DIVISADERO ST
San Francisco, CA 94115
(37.775515, -122.437953)",5.0,,no,3271.0
The Monk's Kettle,Food Services,"Restaurant 1,000 - 2,000 Sqft",3141 16th St,CA,San Francisco,94103.0,10/24/2007,,Mission,"3141 16TH ST
San Francisco, CA 94103
(37.764865, -122.422867)",8.0,,no,3934.0
The Abbot's Cellar,Food Services,,742 Valencia St,CA,San Francisco,94110.0,10/24/2007,,,"742 VALENCIA ST
San Francisco, CA 94110
(37.760976, -122.421509)",,,no,3934.0
Wok In Chinese American Food,Food Services,Multiple,50 Mendell St 6,CA,San Francisco,94124.0,11/02/2007,,Bayview Hunters Point,"50 MENDELL ST
San Francisco, CA 94124
(37.743421, -122.3835)",10.0,,no,3925.0
Hard Knox Cafe,Food Services,"Restaurant 1,000 - 2,000 Sqft",2448 Clement St,CA,San Francisco,94121.0,11/01/2007,,Outer Richmond,"2448 CLEMENT ST
San Francisco, CA 94121
(37.781984, -122.485402)",1.0,,no,3926.0
Mrs Fields Cookies,Food Services,Take-Out Establishment,3251 20th Ave,CA,San Francisco,94132.0,01/01/2007,,Lakeshore,"3251 20TH AVE
San Francisco, CA 94132
(37.727905, -122.475605)",7.0,,no,4230.0
Jasmine Rae Bakery,Food Services,Retail Bakeries With Food Prep,1890 Bryant St 309,CA,San Francisco,94110.0,03/01/2006,,Mission,"1890 BRYANT ST
San Francisco, CA 94110
(37.763338, -122.410266)",9.0,,no,4536.0
Pasion Restaurant,Food Services,,737 Irving St,CA,San Francisco,94121.0,01/01/2006,,Inner Sunset,"737 IRVING ST
San Francisco, CA 94121
(37.764056, -122.465904)",5.0,,no,4595.0
Bryant Street,Food Services,,2684 Bryant St,CA,San Francisco,94110.0,04/01/2007,,Mission,"2684 BRYANT ST
San Francisco, CA 94110
(37.751543, -122.409008)",9.0,,no,4140.0
Phu Quoc Beef Noodle House,Food Services,"Restaurant Less Than 1,000 Sqft",1816 Irving St,CA,San Francisco,94122.0,07/30/2008,,Sunset/Parkside,"1816 IRVING ST
San Francisco, CA 94122
(37.763559, -122.477519)",4.0,,no,3654.0
Jook Time Inc,Food Services,,3398 Balboa St A,CA,San Francisco,94121.0,02/01/2006,07/14/2016,Outer Richmond,"3398 BALBOA ST
A San Francisco, CA 94121
(37.775804, -122.495172)",1.0,3816.0,yes,
Local Kitchen & Wine Merchant,Food Services,"Restaurant Greater Than 2,000 Sqft",330 1st St,CA,San Francisco,94105.0,11/15/2007,,Financial District/South Beach,"330 1ST ST
San Francisco, CA 94105
(37.786984, -122.394074)",6.0,,no,3912.0
Zazie Restaurant Llc,Food Services,"Restaurant 1,000 - 2,000 Sqft",941 Cole St,CA,San Francisco,94117.0,02/01/2005,,Haight Ashbury,"941 COLE ST
SAN FRANCISCO, CA 94117
(37.765274, -122.44985)",5.0,,no,4929.0
Ha Nam Ninh Restaurant,Food Services,,701 Larkin St,CA,San Francisco,94109.0,11/15/2007,08/24/2015,Tenderloin,"701 LARKIN ST
San Francisco, CA 94109
(37.784431, -122.417768)",6.0,2839.0,yes,
Myo Oo,Food Services,,15 Marina,CA,San+francisco,94123.0,11/15/2005,,,"15 MARINA
San Francisco, CA 94123
(37.805097, -122.43308)",,,no,4642.0
Catering With Style,Food Services,Catering Facility,2800 Bryant St,CA,San Francisco,94110.0,06/01/2007,,Mission,"2800 BRYANT ST
San Francisco, CA 94110
(37.749366, -122.408801)",9.0,,no,4079.0
Daily Zen Bento,Food Services,,2800 Bryant St,CA,San Francisco,94110.0,06/01/2007,,Mission,"2800 BRYANT ST
San Francisco, CA 94110
(37.749366, -122.408801)",9.0,,no,4079.0
Art Bistro The,Food Services,"Restaurant Less Than 1,000 Sqft",6900 Geary Blvd,CA,San Francisco,94121.0,04/09/2005,,Outer Richmond,"6900 GEARY BLVD
San Francisco, CA 94121
(37.779735, -122.493645)",1.0,,no,4862.0
Stcc Inc,Food Services,,3910 Geary Blvd,CA,San Francisco,94118.0,07/01/2013,,Inner Richmond,"3910 GEARY BLVD
San Francisco, CA 94118
(37.781212, -122.46139)",1.0,,no,1857.0
Civic Restaurant & Bar,Food Services,Multiple,272 Mcallister St,CA,San Francisco,94102.0,01/01/2008,,Tenderloin,"272 MCALLISTER ST
SAN FRANCISCO, CA 94102
(37.78059, -122.416328)",6.0,,no,3865.0
50 Mason Social House,Food Services,,50 Mason St,CA,San Francisco,94102.0,01/01/2008,,,"50 MASON ST
SAN FRANCISCO, CA 94102
(37.784112, -122.409268)",,,no,3865.0
Soluna Cafe And Lounge,Food Services,,272 Mcallister St,CA,San Francisco,94102.0,01/01/2008,,Tenderloin,"272 MCALLISTER ST
SAN FRANCISCO, CA 94102
(37.78059, -122.416328)",6.0,,no,3865.0
Nara Sushi,Food Services,,1515 Polk St,CA,San Francisco,94109.0,07/19/2005,04/15/2017,Nob Hill,"1515 POLK ST
San Francisco, CA 94109
(37.790875, -122.420749)",3.0,4288.0,yes,
Lark Creek Management Llc,Food Services,,1 Market St 347,CA,San Francisco,94105.0,01/01/2008,12/29/2015,Financial District/South Beach,"1 MARKET ST
San Francisco, CA 94105
(37.794096, -122.395302)",3.0,2919.0,yes,
El Tepa,Food Services,"Restaurant 1,000 - 2,000 Sqft",2198 Folsom St,CA,San Francisco,94110.0,12/01/2007,,Mission,"2198 FOLSOM ST
San Francisco, CA 94110
(37.762274, -122.415013)",9.0,,no,3896.0
Cap'n Mike's Holy Smoke,Food Services,,270 Noe St,CA,San Francisco,94114.0,01/01/2006,,Castro/Upper Market,"270 NOE ST
San Francisco, CA 94114
(37.764716, -122.433161)",8.0,,no,4595.0
Crispy 'N Chips,Food Services,,39 Pier Spc K-01,CA,San+francisco,94133.0,05/01/2005,06/21/2018,,"39 PIER
San Francisco, CA 94133
(37.795541, -122.394141)",,4799.0,yes,
Cask,Food Services,Multiple,17 3rd St,CA,San Francisco,94103.0,02/01/2008,,Financial District/South Beach,"17 3RD ST
San Francisco, CA 94103
(37.787333, -122.403365)",6.0,,no,3834.0
Gingers Trois,Food Services,,246 Kearny St,CA,San Francisco,94108.0,02/01/2008,,Financial District/South Beach,"246 KEARNY ST
San Francisco, CA 94108
(37.790456, -122.403983)",3.0,,no,3834.0
Cask At Rincon,Food Services,Multiple,101 Spear St 4,CA,San Francisco,94105.0,02/01/2008,,Financial District/South Beach,"101 SPEAR ST
San Francisco, CA 94105
(37.792534, -122.394067)",6.0,,no,3834.0
King Of Thai Noodle House& Bar,Food Services,,1268 Grant Ave,CA,San Francisco,94133.0,01/01/2008,02/21/2016,North Beach,"1268 GRANT AVE
San Francisco, CA 94133
(37.798613, -122.40719)",3.0,2973.0,yes,
Pizza Zone N Grill,Food Services,"Restaurant 1,000 - 2,000 Sqft",178 Valencia St,CA,San Francisco,94103.0,12/06/2007,,Mission,"178 VALENCIA ST
San Francisco, CA 94103
(37.770236, -122.422409)",8.0,,no,3891.0
Cafe Insalata,Food Services,"Restaurant 1,000 - 2,000 Sqft",209 Jackson St,CA,San Francisco,94111.0,01/01/2008,,Financial District/South Beach,"209 JACKSON ST
San Francisco, CA 94111
(37.79691, -122.399719)",3.0,,no,3865.0
Boulette's Larder,Food Services,Take-Out Establishment,1 Ferry Bldg 48,CA,San+francisco,94111.0,11/09/2004,,,"1 FERRY
San Francisco, CA 94111
",,,no,5013.0
Catch,Food Services,"Restaurant Greater Than 2,000 Sqft",2362 Market St,CA,San Francisco,94114.0,12/10/2007,,Castro/Upper Market,"2362 MARKET ST
San Francisco, CA 94114
(37.763198, -122.434462)",8.0,,no,3887.0
Columbus Cafe,Food Services,Multiple,562 Green St,CA,San Francisco,94133.0,05/03/2005,,North Beach,"562 GREEN ST
San Francisco, CA 94133
(37.799595, -122.408388)",3.0,,no,4838.0
Bacchus Wine & Sake Bar,Food Services,Bars/taverns W/o Food Prep,1954 Hyde St,CA,San Francisco,94110.0,12/18/2007,,,"1954 HYDE ST
San Francisco, CA 94110
(37.799, -122.419028)",,,no,3879.0
Polished Lounge,Food Services,,470 3rd St 101,CA,San Francisco,94107.0,02/15/2005,,South of Market,"470 3RD ST
San Francisco, CA 94107
(37.78166, -122.396243)",6.0,,no,4915.0
The Sage Cafe,Food Services,"Restaurant 1,000 - 2,000 Sqft",340 Grove St,CA,San Francisco,94102.0,01/18/2008,,Hayes Valley,"340 GROVE ST
San Francisco, CA 94102
(37.777908, -122.422413)",5.0,,no,3848.0
Radio Africa & Kitchen,Food Services,Multiple,4800 3rd St,CA,San Francisco,94121.0,11/20/2007,,Bayview Hunters Point,"4800 3RD ST
San Francisco, CA 94121
(37.734642, -122.390832)",10.0,,no,3907.0
Subway Sandwich #29398,Food Services,,163 Main St,CA,San Francisco,94105.0,12/26/2007,11/19/2016,Financial District/South Beach,"163 MAIN ST
San Francisco, CA 94105
(37.791005, -122.393888)",6.0,3251.0,yes,
Jay's Cheesesteaks,Food Services,"Restaurant Less Than 1,000 Sqft",3285 21st St,CA,San Francisco,94110.0,01/01/2008,,Mission,"3285 21ST ST
San Francisco, CA 94110
(37.756936, -122.420826)",9.0,,no,3865.0
