business_name,category,lic_code,street_address,State,City,zipcode,business_start_date,business_end_date,neighborhoods,business_location,supervisor_district,Lifespan,closed,age_if_opened,formatted_address_x,formatted_name_x,uniqueid,full_address,business_id,name,MA,year,formatted_address_y,formatted_name_y,latitude,longitude
the grilledcheezguy llc,Food Services,,529 stevenson st unit 100,CA,San Francisco,94103.0,01/09/2018,,South of Market,,6.0,,no,204.0,529 stevenson,the,the529 stevenson,"529 stevenson st unit 100, San Francisco, CA, 94103.0",89909,the grilled cheeezguy llc,88.0,2018.0,529 stevenson,the,,
simply cafe,Food Services,"Restaurant 1,000 - 2,000 Sqft",340 grove st,CA,San Francisco,94102.0,01/09/2018,,,,,,no,204.0,340 grove,simply,simply340 grove,"340 grove st, San Francisco, CA, 94102.0",94442,simply cafe,94.0,2018.0,340 grove,simply,,
orchids cafe,Food Services,"Restaurant 1,000 - 2,000 Sqft",1031 ocean ave,CA,San Francisco,94112.0,01/02/2018,,,,,,no,211.0,1031 ocean,orchids,orchids1031 ocean,"1031 ocean ave, San Francisco, CA, 94112.0",94600,orchids cafe,84.0,2018.0,1031 ocean,orchids,,
the sausage factory,Food Services,,517 castro st,CA,San Francisco,94114.0,01/11/2018,,Castro/Upper Market,,8.0,,no,202.0,517 castro,the,the517 castro,"517 castro st, San Francisco, CA, 94114.0",94726,the sausage factory,87.0,2018.0,517 castro,the,,
the sausage factory,Food Services,"Restaurant 1,000 - 2,000 Sqft",517 castro st,CA,San Francisco,94114.0,11/01/2003,02/14/2018,,"517 CASTRO ST
San Francisco, CA 94114
(37.760472, -122.434955)",,5219.0,yes,,517 castro,the,the517 castro,"517 castro st, San Francisco, CA, 94114.0",94726,the sausage factory,87.0,2018.0,517 castro,the,,
mr bread,Food Services,"Restaurant Less Than 1,000 Sqft",1018 taraval st,CA,San Francisco,94116.0,01/02/2018,,,,,,no,211.0,1018 taraval,mr,mr1018 taraval,"1018 taraval st, San Francisco, CA, 94116.0",94616,mr bread,96.0,2018.0,1018 taraval,mr,,
mr bread,Food Services,,1018 taraval st,CA,San Francisco,94116.0,11/04/2015,01/02/2018,,"1018 TARAVAL ST
SAN FRANCISCO, CA 94116
(37.742994, -122.477221)",,790.0,yes,,1018 taraval,mr,mr1018 taraval,"1018 taraval st, San Francisco, CA, 94116.0",94616,mr bread,96.0,2018.0,1018 taraval,mr,,
babys eatery and palabok,Food Services,,4609 mission street,CA,San Francisco,94112.0,01/08/2018,,Excelsior,,11.0,,no,205.0,4609 mission,babys,babys4609 mission,"4609 mission street, San Francisco, CA, 94112.0",824,babys eatery and palabok,74.0,2018.0,4609 mission,babys,37.724579,-122.434879
babys eatery  palabok,Food Services,,4609 mission st,CA,San Francisco,94112.0,02/17/1995,12/28/2017,Excelsior,"4609 MISSION ST
San Francisco, CA 94112
(37.724574, -122.434896)",11.0,8350.0,yes,,4609 mission,babys,babys4609 mission,"4609 mission st, San Francisco, CA, 94112.0",824,babys eatery and palabok,74.0,2018.0,4609 mission,babys,37.724579,-122.434879
tommys joynt,Food Services,Multiple,1101 geary blvd,CA,San Francisco,94109.0,06/30/2015,,,"1101 GEARY BLVD
SAN FRANCISCO, CA 94109
(37.785637, -122.421821)",,,no,1128.0,1101 geary,tommys,tommys1101 geary,"1101 geary blvd, San Francisco, CA, 94109.0",87613,tommys joynt,79.5,2018.0,1101 geary,tommys,,
jacks bar,Food Services,Places Of Public Assembly & Open-Air Assembly,2801 leavenworth st j31-32,CA,San Francisco,94133.0,04/01/1998,,Russian Hill,"2801 LEAVENWORTH ST
San Francisco, CA 94133
(37.807088, -122.418926)",2.0,,no,7427.0,2801 leavenworth,jacks,jacks2801 leavenworth,"2801 leavenworth st j31-32, San Francisco, CA, 94133.0",3325,jacks cannery,89.5,2017.0,2801 leavenworth,jacks,37.807155,-122.419004
jacks cannery,Food Services,"Restaurant Greater Than 2,000 Sqft",2801 leavenworth st,CA,San Francisco,94133.0,04/01/1998,,Russian Hill,"2801 LEAVENWORTH ST
San Francisco, CA 94133
(37.807088, -122.418926)",2.0,,no,7427.0,2801 leavenworth,jacks,jacks2801 leavenworth,"2801 leavenworth st, San Francisco, CA, 94133.0",3325,jacks cannery,89.5,2017.0,2801 leavenworth,jacks,37.807155,-122.419004
sushi shoh,Food Services,,406 dewey blvd,CA,San Francisco,94116.0,04/26/2018,,,,,,no,97.0,406 dewey,sushi,sushi406 dewey,"406 dewey blvd, San Francisco, CA, 94116.0",96577,sushi shoh,92.0,2018.0,406 dewey,sushi,,
sushi shoh,Food Services,,406 dewey bl,CA,San Francisco,94116.0,05/06/2013,10/17/2016,West of Twin Peaks,"406 DEWEY
BL San Francisco, CA 94116
(37.74719, -122.459372)",7.0,1260.0,yes,,406 dewey,sushi,sushi406 dewey,"406 dewey bl, San Francisco, CA, 94116.0",96577,sushi shoh,92.0,2018.0,406 dewey,sushi,,
sushi shoh,Food Services,,406 dewey blvd,CA,San Francisco,94116.0,10/17/2016,10/17/2016,,,,0.0,yes,,406 dewey,sushi,sushi406 dewey,"406 dewey blvd, San Francisco, CA, 94116.0",96577,sushi shoh,92.0,2018.0,406 dewey,sushi,,
sushi shoh,Food Services,"Restaurant 1,000 - 2,000 Sqft",406 dewey blvd,CA,San Francisco,94116.0,10/18/2016,06/28/2018,,,,618.0,yes,,406 dewey,sushi,sushi406 dewey,"406 dewey blvd, San Francisco, CA, 94116.0",96577,sushi shoh,92.0,2018.0,406 dewey,sushi,,
peaches patties llc,Food Services,,2948 folsom st,CA,San Francisco,94110.0,06/01/2018,,,,,,no,61.0,2948 folsom,peaches,peaches2948 folsom,"2948 folsom st, San Francisco, CA, 94110.0",89512,peaches patties,100.0,2018.0,2948 folsom,peaches,,
peaches patties,Food Services,Caterer,2948 folsom st,CA,San Francisco,94110.0,06/13/2014,05/31/2018,,,,1448.0,yes,,2948 folsom,peaches,peaches2948 folsom,"2948 folsom st, San Francisco, CA, 94110.0",89512,peaches patties,100.0,2018.0,2948 folsom,peaches,,
peaches patties llc,Food Services,,331 cortland ave,CA,San Francisco,94110.0,06/01/2018,,,,,,no,61.0,331 cortland,peaches,peaches331 cortland,"331 cortland ave, San Francisco, CA, 94110.0",89511,peaches patties,100.0,2018.0,331 cortland,peaches,,
peaches patties,Food Services,Retail Food Market W/food Prep. Lt 5001 Sqft,331 cortland ave,CA,San Francisco,94110.0,06/13/2014,05/31/2018,,,,1448.0,yes,,331 cortland,peaches,peaches331 cortland,"331 cortland ave, San Francisco, CA, 94110.0",89511,peaches patties,100.0,2018.0,331 cortland,peaches,,
toppu ramen  dim sum house,Food Services,"Restaurant 1,000 - 2,000 Sqft",941 kearny st,CA,San Francisco,94133.0,01/17/2018,,,,,,no,196.0,941 kearny,toppu,toppu941 kearny,"941 kearny st, San Francisco, CA, 94133.0",95363,toppu ramen  dim sum house,94.0,2018.0,941 kearny,toppu,,
poke bar,Food Services,,555 california st concours,CA,San Francisco,94104.0,01/01/2018,,Financial District/South Beach,,3.0,,no,212.0,555 california,poke,poke555 california,"555 california st concours, San Francisco, CA, 94104.0",94503,poke bar,86.0,2018.0,555 california,poke,,
poke bar,Food Services,"Restaurant Less Than 1,000 Sqft",555 california st cncourse,CA,San Francisco,94104.0,01/01/2018,,Financial District/South Beach,,3.0,,no,212.0,555 california,poke,poke555 california,"555 california st cncourse, San Francisco, CA, 94104.0",94503,poke bar,86.0,2018.0,555 california,poke,,
academy of arts univ,Food Services,"Restaurant Greater Than 2,000 Sqft",860 sutter st,CA,San Francisco,94102.0,11/18/2002,,Nob Hill,"860 SUTTER ST
San Francisco, CA 94102
(37.788878, -122.411407)",3.0,,no,5735.0,860 sutter,academy,academy860 sutter,"860 sutter st, San Francisco, CA, 94102.0",2920,academy of arts univ i house cafe,98.0,2018.0,860 sutter,academy,37.788498,-122.41451399999998
the cheese school,Food Services,,900 north point st k201,CA,San Francisco,94109.0,03/13/2014,,Russian Hill,,2.0,,no,1602.0,900 north,the,the900 north,"900 north point st k201, San Francisco, CA, 94109.0",89545,the pub,84.5,2018.0,900 north,the,,
the pub,Food Services,Multiple,900 north point st ste h104,CA,San Francisco,94109.0,09/27/2016,,Russian Hill,,2.0,,no,673.0,900 north,the,the900 north,"900 north point st ste h104, San Francisco, CA, 94109.0",89545,the pub,84.5,2018.0,900 north,the,,
peoples bistro,Food Services,"Restaurant 1,000 - 2,000 Sqft",1419 haight st,CA,San Francisco,94117.0,06/01/2017,,,,,,no,426.0,1419 haight,peoples,peoples1419 haight,"1419 haight st, San Francisco, CA, 94117.0",94710,peoples bistro,73.5,2018.0,1419 haight,peoples,,
peoples cafe,Food Services,,1419 haight st,CA,San Francisco,94117.0,04/06/2015,05/31/2017,,"1419 HAIGHT ST
SAN FRANCISCO, CA 94117
(37.770149, -122.445765)",,786.0,yes,,1419 haight,peoples,peoples1419 haight,"1419 haight st, San Francisco, CA, 94117.0",94710,peoples bistro,73.5,2018.0,1419 haight,peoples,,
academy of arts univ,Food Services,Multiple,1055 pine st,CA,San Francisco,94109.0,11/18/2002,,Nob Hill,"1055 PINE ST
San Francisco, CA 94109
(37.790564, -122.413156)",3.0,,no,5735.0,1055 pine,academy,academy1055 pine,"1055 pine st, San Francisco, CA, 94109.0",2929,academy of arts university,96.0,2018.0,1055 pine,academy,37.790523,-122.413158
the meatball bar,Food Services,"Restaurant 1,000 - 2,000 Sqft",602 hayes st,CA,San Francisco,94104.0,01/01/2018,,Hayes Valley,,5.0,,no,212.0,602 hayes,the,the602 hayes,"602 hayes st, San Francisco, CA, 94104.0",94729,the meatball bar,95.5,2018.0,602 hayes,the,,
my canh restaurant,Food Services,,626 broadway st,CA,San Francisco,94133.0,01/01/2018,,,,,,no,212.0,626 broadway,my,my626 broadway,"626 broadway st, San Francisco, CA, 94133.0",442,my canh restaurant,86.5,2018.0,626 broadway,my,37.797828,-122.407474
my canh restaurant,Food Services,,626 broadway st,CA,San+francisco,94133.0,01/01/2004,12/31/2017,,"626 BROADWAY ST
San Francisco, CA 94133
(37.797768, -122.407475)",,5113.0,yes,,626 broadway,my,my626 broadway,"626 broadway st, San+francisco, CA, 94133.0",442,my canh restaurant,86.5,2018.0,626 broadway,my,37.797828,-122.407474
cc san francisco centre emporium,Food Services,"Restaurant Less Than 1,000 Sqft",845 market st,CA,San Francisco,94103.0,08/23/2014,,,,,,no,1439.0,845 market,cc,cc845 market,"845 market st, San Francisco, CA, 94103.0",94813,cc san francisco centre emporium,90.0,2018.0,845 market,cc,,
broadway coffee bros llc,Food Services,"Restaurant Less Than 1,000 Sqft",900 north point,CA,San Francisco,94109.0,05/03/2018,,,,,,no,90.0,900 north,broadway,broadway900 north,"900 north point, San Francisco, CA, 94109.0",96537,broadway coffee bros llc,96.0,2018.0,900 north,broadway,,
lapisara eatery,Food Services,,698 post st,CA,San Francicso,94109.0,01/23/2018,01/23/2018,,,,0.0,yes,,698 post,lapisara,lapisara698 post,"698 post st, San Francicso, CA, 94109.0",94578,lapisara eatery,100.0,2018.0,698 post,lapisara,,
lapisara eatery,Food Services,"Restaurant Greater Than 2,000 Sqft",698 post st,CA,San Francisco,94109.0,08/01/2017,,,,,,no,365.0,698 post,lapisara,lapisara698 post,"698 post st, San Francisco, CA, 94109.0",94578,lapisara eatery,100.0,2018.0,698 post,lapisara,,
the cheese steak shop,Food Services,"Restaurant 1,000 - 2,000 Sqft",1716 divisadero st,CA,San Francisco,94115.0,01/23/2018,,,,,,no,190.0,1716 divisadero,the,the1716 divisadero,"1716 divisadero st, San Francisco, CA, 94115.0",94703,the cheese steak shop,89.0,2018.0,1716 divisadero,the,,
bernal heights pizzeria,Food Services,"Restaurant 1,000 - 2,000 Sqft",59 30th st,CA,San Francisco,94110.0,01/01/2015,,,,,,no,1308.0,59 30th,bernal,bernal59 30th,"59 30th st, San Francisco, CA, 94110.0",87802,bernal heights pizzeria,96.0,2018.0,59 30th,bernal,,
bernal heights pizzeria,Food Services,,59 30th st,CA,San Francisco,94110.0,01/01/2015,,,"59 30TH ST
SAN FRANCISCO, CA 94110
(37.742338, -122.422701)",,,no,1308.0,59 30th,bernal,bernal59 30th,"59 30th st, San Francisco, CA, 94110.0",87802,bernal heights pizzeria,96.0,2018.0,59 30th,bernal,,
easy breezy frozen yogurt,Food Services,"Restaurant 1,000 - 2,000 Sqft",44 west portal ave,CA,San Francisco,94127.0,04/20/2012,,,,,,no,2294.0,44 west,easy,easy44 west,"44 west portal ave, San Francisco, CA, 94127.0",94555,easy breezy frozen yogurt,97.0,2018.0,44 west,easy,,
la canasta produce,Food Services,Retail Food Market W/food Prep. Lt 5001 Sqft,2097 mission st,CA,San Francisco,94110.0,01/25/2018,,,,,,no,188.0,2097 mission,la,la2097 mission,"2097 mission st, San Francisco, CA, 94110.0",94702,la canasta produce,92.0,2018.0,2097 mission,la,,
la canasta produce,Food Services,,2097 mission st,CA,San Francisco,94103.0,12/13/2017,12/13/2017,,,,0.0,yes,,2097 mission,la,la2097 mission,"2097 mission st, San Francisco, CA, 94103.0",94702,la canasta produce,92.0,2018.0,2097 mission,la,,
san marcos restaurante,Food Services,"Restaurant 1,000 - 2,000 Sqft",98 leland ave,CA,San Francisco,94134.0,01/25/2018,,,,,,no,188.0,98 leland,san,san98 leland,"98 leland ave, San Francisco, CA, 94134.0",95400,san marcos restaurante,90.0,2018.0,98 leland,san,,
poke fusion,Food Services,"Restaurant Less Than 1,000 Sqft",112 waverly pl,CA,San Francisco,94108.0,04/21/2015,,,,,,no,1198.0,112 waverly,poke,poke112 waverly,"112 waverly pl, San Francisco, CA, 94108.0",84795,poke fusion,100.0,2017.0,112 waverly,poke,,
dmaize cafe,Food Services,Multiple,11 phelan ave rm 398,CA,San Francisco,94112.0,12/24/2015,,West of Twin Peaks,,7.0,,no,951.0,11 phelan,dmaize,dmaize11 phelan,"11 phelan ave rm 398, San Francisco, CA, 94112.0",94544,dmaize cafe,94.0,2018.0,11 phelan,dmaize,,
dmaize cafe,Food Services,"Restaurant Less Than 1,000 Sqft",11 phelan ave,CA,San Francisco,94112.0,12/24/2015,,,,,,no,951.0,11 phelan,dmaize,dmaize11 phelan,"11 phelan ave, San Francisco, CA, 94112.0",94544,dmaize cafe,94.0,2018.0,11 phelan,dmaize,,
bake cheese tart,Food Services,Take-Out Establishment,845 market st ste 16,CA,San Francisco,94103.0,07/01/2017,,South of Market,,6.0,,no,396.0,845 market,bake,bake845 market,"845 market st ste 16, San Francisco, CA, 94103.0",95455,bake cheese tart,96.0,2018.0,845 market,bake,,
cafe bastille,Food Services,Multiple,22 belden pl,CA,San+francisco,94104.0,08/01/1990,,,"22 BELDEN PL
San Francisco, CA 94104
(37.79112, -122.403748)",,,no,10227.0,22 belden,cafe,cafe22 belden,"22 belden pl, San+francisco, CA, 94104.0",1837,cafe bastille,81.0,2017.0,22 belden,cafe,37.791139,-122.403716
epic bites catering,Food Services,Caterer,1851 noriega st,CA,San Francisco,94122.0,01/01/2018,,Sunset/Parkside,,4.0,,no,212.0,1851 noriega,epic,epic1851 noriega,"1851 noriega st, San Francisco, CA, 94122.0",93546,epic bites catering,100.0,2018.0,1851 noriega,epic,,
epic bites catering,Food Services,,1851 noriega st,CA,San Francisco,94122.0,07/01/2017,,Sunset/Parkside,,4.0,,no,396.0,1851 noriega,epic,epic1851 noriega,"1851 noriega st, San Francisco, CA, 94122.0",93546,epic bites catering,100.0,2018.0,1851 noriega,epic,,
happy donuts,Food Services,,3801 24th st,CA,San Francisco,94114.0,01/12/2018,,,,,,no,201.0,3801 24th,happy,happy3801 24th,"3801 24th st, San Francisco, CA, 94114.0",77520,happy donuts,92.5,2018.0,3801 24th,happy,,
happy donuts,Food Services,Multiple,3801 24th st,CA,San Francisco,94114.0,07/01/2013,01/12/2018,Noe Valley,"3801 24TH ST
San Francisco, CA 94114
(37.751681, -122.427699)",8.0,1656.0,yes,,3801 24th,happy,happy3801 24th,"3801 24th st, San Francisco, CA, 94114.0",77520,happy donuts,92.5,2018.0,3801 24th,happy,,
creperie saint germain,Food Services,Catering Facility,1750 cesar chavez  ste d,CA,San+francisco,94124.0,10/01/2016,,,,,,no,669.0,1750 cesar,creperie,creperie1750 cesar,"1750 cesar chavez  ste d, San+francisco, CA, 94124.0",94769,creperie st germain,99.0,2018.0,1750 cesar,creperie,,
creperie saintgermain,Food Services,,1750 cesar chavez  d,CA,San+francisco,94124.0,03/01/2018,,,,,,no,153.0,1750 cesar,creperie,creperie1750 cesar,"1750 cesar chavez  d, San+francisco, CA, 94124.0",94769,creperie st germain,99.0,2018.0,1750 cesar,creperie,,
casa de la condesa,Food Services,,2763 mission st,CA,San Francisco,94110.0,01/31/2018,,Mission,,9.0,,no,182.0,2763 mission,casa,casa2763 mission,"2763 mission st, San Francisco, CA, 94110.0",94848,casa de la condesa restaurant,89.0,2018.0,2763 mission,casa,,
casa de la condesa restaurant,Food Services,"Restaurant 1,000 - 2,000 Sqft",2763 mission st,CA,San Francisco,94110.0,01/31/2018,,Mission,,9.0,,no,182.0,2763 mission,casa,casa2763 mission,"2763 mission st, San Francisco, CA, 94110.0",94848,casa de la condesa restaurant,89.0,2018.0,2763 mission,casa,,
hotel san francisco,Food Services,Multiple,653 commercial st,CA,San Francisco,94111.0,09/28/2017,,Chinatown,,3.0,,no,307.0,653 commercial,hotel,hotel653 commercial,"653 commercial st, San Francisco, CA, 94111.0",94701,hotel san francisco,100.0,2018.0,653 commercial,hotel,,
memphis minnies bbq joint,Food Services,,576 haight st,CA,San Francisco,94117.0,05/01/2018,,Hayes Valley,,5.0,,no,92.0,576 haight,memphis,memphis576 haight,"576 haight st, San Francisco, CA, 94117.0",2387,memphis minnies bbq joint,88.0,2018.0,576 haight,memphis,37.771978,-122.431654
memphis minnies bbq joint,Food Services,,576 haight st,CA,San Francisco,94117.0,05/01/2018,,Hayes Valley,,5.0,,no,92.0,576 haight,memphis,memphis576 haight,"576 haight st, San Francisco, CA, 94117.0",2387,memphis minnies bbq joint,88.0,2018.0,576 haight,memphis,37.771978,-122.431654
memphis minnies bbq joint,Food Services,"Restaurant 1,000 - 2,000 Sqft",576 haight st,CA,San Francisco,94117.0,05/16/2006,05/01/2018,,"576 HAIGHT ST
San Francisco, CA 94117
(37.771955, -122.431664)",,4368.0,yes,,576 haight,memphis,memphis576 haight,"576 haight st, San Francisco, CA, 94117.0",2387,memphis minnies bbq joint,88.0,2018.0,576 haight,memphis,37.771978,-122.431654
kentucky fried chicken,Food Services,Multiple,691 eddy st,CA,San Francisco,94109.0,10/01/1968,,Tenderloin,"691 EDDY ST
San Francisco, CA 94109
(37.783118, -122.419042)",6.0,,no,18201.0,691 eddy,kentucky,kentucky691 eddy,"691 eddy st, San Francisco, CA, 94109.0",2085,kentucky fried chicken #249,82.0,2017.0,691 eddy,kentucky,37.783053,-122.41898799999998
toyama japanese restaurant,Food Services,"Restaurant 1,000 - 2,000 Sqft",3727 geary blvd,CA,San Francisco,94118.0,02/05/2018,,,,,,no,177.0,3727 geary,toyama,toyama3727 geary,"3727 geary blvd, San Francisco, CA, 94118.0",94959,toyama japanese restaurant,80.0,2018.0,3727 geary,toyama,,
gourmet kitchen,Food Services,Take-Out Establishment,1051 stockton st,CA,San Francisco,94108.0,02/01/2000,,Chinatown,"1051 STOCKTON ST
San Francisco, CA 94108
(37.795391, -122.408183)",3.0,,no,6756.0,1051 stockton,gourmet,gourmet1051 stockton,"1051 stockton st, San Francisco, CA, 94108.0",4608,gourmet kitchen,93.0,2017.0,1051 stockton,gourmet,37.795594,-122.408204
z zoul cafe,Food Services,"Restaurant 1,000 - 2,000 Sqft",295 eddy st,CA,San Francisco,94102.0,02/01/2018,,,,,,no,181.0,295 eddy,z,z295 eddy,"295 eddy st, San Francisco, CA, 94102.0",95592,z zoul cafe,80.0,2018.0,295 eddy,z,,
casa lucas mkt,Food Services,Retail Food Market W/food Prep. Lt 5001 Sqft,2934 24th st,CA,San Francisco,94110.0,01/01/1992,,,,,,no,9709.0,2934 24th,casa,casa2934 24th,"2934 24th st, San Francisco, CA, 94110.0",95366,casa lucas mkt,88.0,2018.0,2934 24th,casa,,
fullskoop inc,Food Services,Mobile Food Facility 4,1 bush st,CA,San Francisco,94104.0,06/06/2017,,,,,,no,421.0,1 bush,fullskoop,fullskoop1 bush,"1 bush st, San Francisco, CA, 94104.0",91571,fullskoop inc,90.0,2017.0,1 bush,fullskoop,,
fullskoop inc,Food Services,Mobile Food Facility 4,1 bush st,CA,San Francisco,94104.0,06/06/2017,,,,,,no,421.0,1 bush,fullskoop,fullskoop1 bush,"1 bush st, San Francisco, CA, 94104.0",91577,fullskoop inc,88.5,2017.0,1 bush,fullskoop,,
505 pinterest dining garage level kitchen and 2nd floor staging,Food Services,Employee Cafeterias W/food Prep,505 brannan st,CA,San Francisco,94107.0,10/01/1968,,South of Market,,6.0,,no,18201.0,505 brannan,505,505505 brannan,"505 brannan st, San Francisco, CA, 94107.0",93888,505 pinterest dining garage level kitchen and 2nd floor staging,89.0,2018.0,505 brannan,505,,
505 pinterest dining garage level kitchen and 2nd floor staging,Food Services,Employee Cafeterias W/food Prep,505 brannan st,CA,San Francisco,94107.0,10/01/1968,,South of Market,,6.0,,no,18201.0,505 brannan,505,505505 brannan,"505 brannan st, San Francisco, CA, 94107.0",94119,505 pinterest retail,96.0,2018.0,505 brannan,505,,
