business_name,lic_code,business_start_date,business_end_date,Lifespan,closed,age_if_opened,full_address,business_id,name,MA,year,lati,longi
kentucky fried chicken,Multiple,10/01/1968,,,no,18201.0,"691 eddy st, San Francisco, CA, 94109",2085,kentucky fried chicken #249,82.0,2017.0,37.783053,-122.41898799999998
toyama japanese restaurant,"Restaurant 1,000 - 2,000 Sqft",02/05/2018,,,no,177.0,"3727 geary blvd, San Francisco, CA, 94118",94959,toyama japanese restaurant,80.0,2018.0,37.7809432,-122.45944009999998
gourmet kitchen,Take-Out Establishment,02/01/2000,,,no,6756.0,"1051 stockton st, San Francisco, CA, 94108",4608,gourmet kitchen,93.0,2017.0,37.795594,-122.408204
z zoul cafe,"Restaurant 1,000 - 2,000 Sqft",02/01/2018,,,no,181.0,"295 eddy st, San Francisco, CA, 94102",95592,z zoul cafe,80.0,2018.0,37.7838528,-122.41229309999999
casa lucas mkt,Retail Food Market W/food Prep. Lt 5001 Sqft,01/01/1992,,,no,9709.0,"2934 24th st, San Francisco, CA, 9411",95366,casa lucas mkt,88.0,2018.0,37.752785700000004,-122.40795790000001
fullskoop inc,Mobile Food Facility 4,06/06/2017,,,no,421.0,"1 bush st, San Francisco, CA, 94104",91571,fullskoop inc,90.0,2017.0,37.7910468,-122.40004740000002
fullskoop inc,Mobile Food Facility 4,06/06/2017,,,no,421.0,"1 bush st, San Francisco, CA, 94104",91577,fullskoop inc,88.5,2017.0,37.7910468,-122.40004740000002
505 pinterest dining garage level kitchen and 2nd floor staging,Employee Cafeterias W/food Prep,10/01/1968,,,no,18201.0,"505 brannan st, San Francisco, CA, 94107",93888,505 pinterest dining garage level kitchen and 2nd floor staging,89.0,2018.0,37.7777551,-122.3969054
505 pinterest dining garage level kitchen and 2nd floor staging,Employee Cafeterias W/food Prep,10/01/1968,,,no,18201.0,"505 brannan st, San Francisco, CA, 94107",94119,505 pinterest retail,96.0,2018.0,37.7777551,-122.3969054
slice house by tony gemignani,,02/10/2009,,,no,3459.0,"1556 stockton st, San Francisco, CA, 94133",62990,slice house by tony gemignani,93.0,2018.0,37.800218,-122.40909599999999
papis sf,"Restaurant Less Than 1,000 Sqft",12/11/2017,,,no,233.0,"846 geary st, San Franisco, CA, 94109",94463,papis sf,100.0,2018.0,37.786373,-122.417226
t bear cafe,"Restaurant Less Than 1,000 Sqft",02/06/2018,,,no,176.0,"57 walter u lum pl, San Francisco, CA, 94108",95017,t bear cafe,96.0,2018.0,37.795019399999994,-122.40592140000001
wing lee bakery,"Restaurant 1,000 - 2,000 Sqft",02/08/2018,,,no,174.0,"503 clement st, San Francisco, CA, 94118",94894,wing lee bakery,83.0,2018.0,37.7828277,-122.46458159999999
smitten ice cream,Multiple,01/01/2015,,,no,1308.0,"432 octavia st 1a, San Francisco, CA, 94102",89560,smitten ice cream,99.0,2018.0,37.7763813,-122.42417160000001
beer nerds,"Restaurant 1,000 - 2,000 Sqft",02/09/2018,,,no,173.0,"3331 24th st, San Francisco, CA, 9411",95180,beer nerds,94.0,2018.0,37.7520105,-122.4192514
bon appetit  usf crossroads,"Retail Mkts W/o Prep (Under 5,001)",07/01/1987,,,no,11354.0,"2130 fulton st, San Francisco, CA, 94117",4424,bon appetit  usf outta here,94.0,2017.0,37.775117,-122.45206499999999
bon appetit  usf crossroads,"Retail Mkts W/o Prep (Under 5,001)",07/01/1987,,,no,11354.0,"2130 fulton st, San Francisco, CA, 94117",10362,bon appetit  usf crossroads,96.0,2017.0,37.775117,-122.45206499999999
bon appetit  usf crossroads,"Retail Mkts W/o Prep (Under 5,001)",07/01/1987,,,no,11354.0,"2130 fulton st, San Francisco, CA, 94117",2907,bon appetit  usfmarket cafe,83.0,2017.0,37.775117,-122.45206499999999
chocolate chair castro stree,,08/23/2014,,,no,1439.0,"4092 18th street, San Francisco, CA, 94114",94842,chocolate chair castro street,90.0,2018.0,37.7611022,-122.43460320000001
el pipila llc,Caterer,05/25/2017,,,no,433.0,"2948 folsom st, San Francisco, CA, 9411",89083,el meson de violeta,100.0,2016.0,37.7501803,-122.4140972
el pipila llc,Caterer,05/25/2017,,,no,433.0,"2948 folsom st, San Francisco, CA, 9411",92598,el pipila llc,100.0,2018.0,37.7501803,-122.4140972
yin du wonton noodle llc,,03/01/2016,,,no,883.0,"648 pacific ave, San Francisco, CA, 94133",87799,yin du wonton noodle llc,77.0,2017.0,37.7970477,-122.40645959999999
agricole ii,Places Of Public Assembly & Open-Air Assembly,01/01/2018,,,no,212.0,"355 11th st ste 100, San Francisco, CA, 94103",94706,agricole ii,96.0,2018.0,37.771542700000005,-122.41288
cento osteria,Multiple,01/19/2018,,,no,194.0,"100 brannan st, San Francisco, CA, 94107",95441,cento osteria,96.0,2018.0,37.785170799999996,-122.3887624
tuba express mediterranean kebab and gyro,"Restaurant 1,000 - 2,000 Sqft",01/24/2018,,,no,189.0,"1550 california st, San Francisco, CA, 94109",94921,tuba express mediterraean kebab and gyro,86.0,2018.0,37.7909273,-122.42004779999999
pizza orgasmica,"Restaurant Less Than 1,000 Sqft",04/01/2007,,,no,4140.0,"3157 fillmore st, San Francisco, CA, 94123",34388,pizza orgasmica,69.5,2018.0,37.798764,-122.435874
red chilli,,06/01/2018,,,no,61.0,"522 jones st, San Francisco, CA, 94102",74210,red chilli,87.5,2018.0,37.7860601,-122.41288
wow thai kitchen,,06/12/2018,,,no,50.0,"701 randolph st, San Francisco, CA, 94132",96775,wow thai kitchen,94.0,2018.0,37.7140932,-122.46908130000001
ritu indian soul food,,04/01/2014,,,no,1583.0,"3111 24th st, San Francisco, CA, 9411",87699,ritu indian soul food,97.0,2018.0,37.7522761,-122.4144939
sf hole in the wall pizza,"Restaurant Less Than 1,000 Sqft",02/16/2018,,,no,166.0,"3244 scott st, San Francisco, CA, 94123",95526,sf hole in the wall pizza,96.0,2018.0,37.7998845,-122.4409186
sultans kebab,"Restaurant Less Than 1,000 Sqft",02/20/2018,,,no,162.0,"3915 24th st, San Francisco, CA, 94114",95014,sultans kebab,91.0,2018.0,37.75142090000001,-122.43006869999999
dillers deli,"Restaurant 1,000 - 2,000 Sqft",01/01/1989,,,no,10804.0,"348 pine st, San Francisco, CA, 94104",1856,dillers delicatessen,85.5,2018.0,37.792059,-122.40178
eko kitchen,Caterer,03/23/2018,,,no,131.0,"160 14th street st, San Francisco, CA, 94103",96608,eko kitchen,100.0,2018.0,37.7686532,-122.4169507
poke delish,"Restaurant 1,000 - 2,000 Sqft",05/04/2016,,,no,819.0,"708 kearny st, San Francisco, CA, 94108",94956,poke delish,92.5,2018.0,37.7946661,-122.40469080000001
ace king bbq,"Restaurant Less Than 1,000 Sqft",02/22/2018,,,no,160.0,"1820 clement st, San Francisco, CA, 94121",94954,ace king bbq,75.0,2018.0,37.78245020000001,-122.47894270000002
wing wings,"Restaurant Less Than 1,000 Sqft",02/21/2018,,,no,161.0,"422 haight st., San Francisco, CA, 94117",95021,wing wings,87.0,2018.0,37.7724268,-122.4292973
cafe valencia,,02/22/2018,,,no,160.0,"1252 valencia st, San Francisco, CA, 9411",93362,cafe valencia,90.0,2018.0,37.752832700000006,-122.4210038
alamo square cafe,,02/21/2018,,,no,161.0,"711 fillmore st, San Francisco, CA, 94117",95033,alamo square cafe,90.0,2018.0,37.7760343,-122.4314537
kokio republic,Mobile Food Facility 5,12/09/2017,,,no,235.0,"428 11th st, San Francisco, CA, 94109",94394,kokio republic,87.0,2018.0,37.769779,-122.41201709999999
osakaya restaurant,,02/28/2018,,,no,154.0,"1737 post st ste 370, San Francisco, CA, 94115",95067,osakaya restaurant,85.0,2018.0,37.785329,-122.430369
cha cha cha restaurant,"Restaurant Greater Than 2,000 Sqft",05/19/1983,06/30/2017,12461.0,yes,,"1801 haight st, San Francisco, CA, 94117",91984,cha cha cha,76.0,2018.0,37.769265999999995,-122.45199740000001
sugoi sushi and catering,,09/29/2017,,,no,306.0,"1152 valencia st, San Francisco, CA, 9411",94231,sugoi sushi,85.0,2017.0,37.7544615,-122.4210794
ediths food company inc,Caterer Retail Food Vehicles,08/30/2013,,,no,1797.0,"1 united nations plz, San Francisco, CA, 94108",76064,ediths food company inc,100.0,2016.0,37.780453,-122.41452369999999
udon underground,"Restaurant 1,000 - 2,000 Sqft",12/06/2017,,,no,238.0,"493 pine st, San Francisco, CA, 94104",95495,udon underground,88.0,2018.0,37.7916102,-122.4039406
back room,"Restaurant Less Than 1,000 Sqft",04/21/2015,,,no,1198.0,"4601 geary blvd, San Francisco, CA, 94118",95375,back room,94.0,2018.0,37.78066099999999,-122.46872549999999
joey and pats baskery  coffee,,03/02/2018,,,no,152.0,"2499 folsom st, San Francisco, CA, 9411",95560,joey and pats bakery  coffee,92.0,2018.0,37.778126799999995,-122.40578700000002
r caffe,"Restaurant Less Than 1,000 Sqft",10/01/2013,02/27/2018,1610.0,yes,,"614 polk st, San Francisco, CA, 94102",95095,r caffe,93.0,2018.0,37.7824687,-122.41891509999998
jp cafe inc,"Restaurant 1,000 - 2,000 Sqft",03/01/2018,,,no,153.0,"2546 san bruno ave, San Francisco, CA, 94134",95440,jp cafe inc,83.0,2018.0,37.7295056,-122.4045173
gold mirror italian restaurant,"Restaurant 1,000 - 2,000 Sqft",03/03/1969,,,no,18048.0,"800 taraval st, San Francisco, CA, 94116",2293,gold mirror italian restaurant,95.0,2018.0,37.743118,-122.474802
la guerreras kitchen,,06/18/2018,,,no,44.0,"2948 folsom st, San Francisco, CA, 9411",12970,la cocina,100.0,2018.0,37.7501803,-122.4140972
bay subs  deli,"Restaurant Less Than 1,000 Sqft",03/06/2018,,,no,148.0,"2486 sacramento st, San Francisco, CA, 94115",95162,bay subs  deli,96.0,2018.0,37.7900222,-122.43382290000001
blue fog market,,06/24/2010,11/30/2016,2351.0,yes,,"2567 gough st, San Francisco, CA, 94123",95401,blue fog market,89.0,2018.0,37.7970802,-122.42732579999999
urban ritual,"Restaurant 1,000 - 2,000 Sqft",03/30/2018,,,no,124.0,"488 fell st, San Francisco, CA, 94102",95621,urban ritual,100.0,2018.0,37.7757205,-122.42586580000001
kam lok restaurant inc,"Restaurant 1,000 - 2,000 Sqft",09/01/1978,,,no,14579.0,"834 washington st, San Francisco, CA, 94108",2234,kam lok restaurant,83.0,2017.0,37.795118,-122.40708300000001
chez marius,"Restaurant Greater Than 2,000 Sqft",03/08/2018,,,no,146.0,"4063 24th st., San Francisco, CA, 94114",95170,chez marius,81.0,2018.0,37.7512497,-122.43325800000001
grace  gusto cakes and confections,Caterer,03/26/2017,,,no,493.0,"103 horne ave, San Francisco, CA, 94124",95080,grace  gusto cakes and confections,100.0,2018.0,37.7267232,-122.3656354
pacific cafe,,01/01/2018,,,no,212.0,"7000 geary blvd, San Francisco, CA, 94121",2282,pacific cafe,86.5,2017.0,37.779668,-122.49456200000002
compass group usaca technologies,,10/01/1968,,,no,18201.0,"1566 carroll ave, San Francisco, CA, 94124",92102,compass group  live feed co,100.0,2017.0,37.7247626,-122.3925584
ladies who lunch catering and events,,02/14/2007,,,no,4186.0,"1750 cesar chavez st bldg h, San  Francisco, CA, 94124",95018,ladies who lunch catering  events,98.0,2018.0,37.750858,-122.394103
delfina restaurant,Multiple,07/27/1998,,,no,7310.0,"3621 18th st, San Francisco, CA, 9411",856,delfina restaurant,94.0,2018.0,37.761514,-122.424318
guckenheimer 114201  coffee 12th floor,,01/01/2013,,,no,2038.0,"1 market st, San Francisco, CA, 94105",86344,guckenheimer 114201,98.0,2018.0,37.7940057,-122.3949618
la boquita kitchen,Caterer,08/10/2017,,,no,356.0,"103 horne ave, San Francisco, CA, 94124",95398,la boquita kitchen,100.0,2018.0,37.7267232,-122.3656354
